Település,Településtípus,Év,Belföldi oda- és elvándorlás különbsége ezer lakosra,Bűncselekmények száma ezer főre,Diplomások aránya (interpolált),Egy lakosra jutó SZJA adóalapot képező belföldi jövedelem (Ft),Gimnáziumi tanulók a nappali oktatásban ezer főre,Helyi önkormányzatok összes költségvetési bevétele (1000 Ft) egy főre,Iparűzési adó egy főre (1000 ft),Közüzemi ivóvízvezeték-hálózatba bekapcsolt lakások aránya (százalék),Lakások átlagos négyzetméterára,Alapszolgáltatásokon felüli kiadások egy főre (1000 Ft),Állami támogatások egy főre (pályázatok),"Az év folyamán épített lakás, 1000 lakásra (db)",Egy házi- és házi gyermekorvosra jutó lakos (fő),Élelmiszer és élelmiszer jellegű belkereskedelmi egységek száma tízezer főre (db),Eltartottsági ráta,"Felsőfokú intézmények nappali tagozatos hallgatói (képzés helye szerint), 1000 lakosra (fő)",Gyógyszertárak tízezer főre,"Játszóterek, tornapályák, pihenőhelyek ezer főre",Közcsatornahálózatba bekapcsolt lakások aránya (százalék),Kulturális rendezvényeken részt vevők száma egy főre,Legközelebbi legalább 50 ezer fős város elérési ideje közúton a legrövidebb úton (perc),Nem élelmiszer jellegű belkereskedelmi egységek száma tízezer főre (db),"Nyilvántartott álláskereső, 100 15-64 évesre (fő)",Önkormányzati járdák kiépítettsége (százalék),Önkormányzati utak kiépítettsége (százalék),"SZJA adófizető, 100 lakosra (fő)",Vendégéjszakák száma a kereskedelmi szálláshelyeken száz főre (db),Vendéglátóhelyek száma tízezer főre (db),25 év alatti nyilvántartott álláskeresők aránya (százalék),"Alkotó művelődési közösségek tagjai, 100 lakosra (fő)",Bevásárlóközpontok (városok) (igen-nem),Házi segítségnyújtásban részesülők ezer főre,Helyközi autóbusz-megálló léte (igen-nem),Internet-előfizetések száma ezer főre,Jelzőrendszeres házi segítségnyújtásban részesülők tízezer főre,Kormányablak léte (igen-nem),Közüzemi szennyvízgyűjtő-hálózatban (közcsatornában) tisztítottan elvezetett szennyvíz aránya (százalék),Lakosságtól szelektíven elszállított települési hulladék aránya (százalék),Lakott területen történt összes közúti közlekedési baleset ezer főre (eset),Mozi léte (igen-nem),"Múzeumi látogatók, 100 lakosra (fő)","Működő kórházi ágy, 1000 lakosra (db)",Önkormányzat által kiutalt lakások ezer főre (db),Postai szolgáltatóhelyek tízezer lakosra,"Rendőrkapitányság, határrendészeti kirendeltség, rendőrőrs, körzeti megbízott székhely léte (igen-nem)","Rendszeres művelődési formákban résztvevők, 100 lakosra (fő)",Szállított utasok a helyi tömegközlekedésben (városok) (1000 fő),"Személygépkocsi, 1000 lakosra (db)",Színház léte (igen-nem),Színházak látogatói (fő),"Természetes szaporodás, fogyás (ezrelék)",Utaskilométer a helyi tömegközlekedésben (városok) (1000 km),Vasútállomás léte (igen-nem),Indexpontszám,Rangsor
Pap,Kistelepülés,2014,"-23,7","11,2","5,9","779710,8",0,"284,9",0,91,0,28,"28972,7003",0,1788,"22,4","37,8",0,"5,6",0,0,"1,4","54,74",28,5,100,42,"50,3",0,"22,4","23,8","3,3",1,"110,2",100,"182,3","55,9",1,90,0,"0,6",1,0,0,0,"5,6",100,"19,9",,"267,9",1,,"-7,2",,1,"7,8",1519
Halmaj,Kistelepülés,2014,"-8,7","9,9","6,2","765492,4",0,"347,5","10,48","90,5","66,3","49,1","31092,2446","1,7",1818,"49,5","47,1",0,"5,5",0,"89,63",1,"32,62",55,"4,9",100,"40,8","50,6",0,"49,5","38,9",0,1,11,100,"151,3",110,1,100,0,0,1,0,0,0,"5,5",100,"1,1",,"206,8",1,,"-4,9",,100,"10,3",265
Balatonszemes,Kistelepülés,2014,-8,"18,9","12,9","816891,8",0,"360,5","34,04",77,291,"36,8","40008,2859","6,1",1746,"114,5","54,8",0,"5,7","1,7","74,52","6,5","47,53","120,3","3,5","35,6","45,9","45,6","368,2","320,7","15,5","2,1",1,"8,6",100,"240,5","68,7",1,100,"3,25","1,1",1,347,0,0,"5,7",100,"6,1",,378,1,,"-7,4",,100,13,38
Nádasdladány,Kistelepülés,2014,"-3,5","12,8","4,2","866391,7",0,"151,4","5,59","91,9",0,"19,1","13825,9387",0,1718,"52,4","42,1",0,"5,8","0,6","82,12",0,"27,6","34,9","6,1",100,34,"48,9","10,5","17,5","11,7",0,1,"9,9",100,"173,5",0,1,100,"0,58","0,6",1,867,0,0,"5,8",100,0,,"259,6",1,,"-3,5",,1,"8,2",1240
Markaz,Kistelepülés,2014,"-0,6","9,6","13,5","1207931,8",0,197,"71,94","98,1",75,"34,3",0,"2,5",,17,"49,4",0,"5,7","0,6","91,21","2,1","40,86","45,2","3,7",100,"29,8","48,3","81,4","28,3","22,8","2,5",1,13,100,"236,3","11,3",1,100,"0,35",0,1,13,0,0,"5,7",100,"7,3",,"440,4",1,,"-4,5",,1,"11,1",127
Kálló,Kistelepülés,2014,"15,4","56,3","3,4","442700,8",0,"191,8","16,49","87,8","36,6","34,5","605043,894",0,1438,"41,7","71,6",0,7,0,0,"0,7","56,24",0,"14,8","66,6","10,7","29,2",0,"20,9",26,0,1,"4,2",100,137,0,1,90,"0,04","1,4",1,0,0,0,7,1,"2,1",,"218,4",1,,"-4,9",,1,"7,1",2117
Somogyvár,Kistelepülés,2014,"-11,2","28,7","8,6","642121,6",0,"226,6","14,51",93,0,43,"291621,369",0,1776,"33,8","43,6",0,"5,6","0,6","70,78","0,4","33,3","28,2","9,9","78,9","13,2","42,1","4,3","22,5","22,3",0,1,"22,5",100,"142,5",0,1,100,"1,22","1,1",1,0,0,0,"5,6",1,"2,5",,"257,3",1,,"1,7",,100,"8,3",1131
Rábapaty,Kistelepülés,2014,"10,1","13,9","8,8","928337,4",0,"159,2","17,77",100,0,"23,7","142576,908","1,5",1583,"63,2","44,4",0,"6,3",0,"89,54","1,2","29,26","75,8","1,7","96,7","48,3","52,9",0,"31,6",8,"0,8",1,0,100,"233,1",0,1,100,"16,14","0,6",1,0,0,0,"6,3",100,"2,1",,"369,6",1,,"-6,9",,1,"9,4",539
Fábiánháza,Kistelepülés,2014,"-6,4",29,"3,8","511975,5",0,"288,3","5,21",78,0,"32,9",0,0,1724,"63,8","46,7",0,"5,8",0,0,"5,2","60,31","17,4","12,5","51,2",60,"40,7",0,"17,4",20,0,1,"80,6",100,"85,3",0,1,90,0,"0,6",1,0,0,0,"5,8",100,0,,"265,7",1,,"12,8",,1,"7,2",2057
Csökmő,Kistelepülés,2014,"-5,9","17,7","4,6","630737,4",0,"151,3","6,58","94,8",0,"27,6","63386,5366",0,1860,"37,6",53,0,"5,4",0,0,"2,1","55,75",43,"8,4",100,"7,8","44,3",0,"32,3","19,4","3,7",1,71,100,157,"53,8",1,90,0,0,1,"50,2",0,0,"5,4",100,"5,8",,"205,9",1,,"-2,7",,1,"7,3",1974
Ladánybene,Kistelepülés,2014,"-1,3","11,6",6,"563763,4",0,"156,3","11,72","49,5","60,6","39,3",0,"1,4",1556,"38,6","44,5",0,"6,4",0,0,"0,3","20,09","51,4","5,6",100,"7,6","39,6","11,6","32,1","16,1",3,1,"5,8",100,108,0,1,90,"4,32",0,1,0,0,0,"6,4",100,"11,2",,"377,3",1,,"-6,4",,1,8,1335
Tác,Kistelepülés,2014,"0,6","10,8","9,6","1038932,4",0,"191,2","19,15",100,"113,5","26,6","24526,0656","3,3",1666,30,"45,1",0,6,0,"88,01","0,2","12,93",36,"1,9","31,8","18,9","54,6",0,18,"18,5",0,1,"5,4",100,"234,7",0,1,100,"1,03",0,1,"420,7",0,0,6,100,0,,"309,7",1,,"-2,4",,1,"10,3",263
Tiszasziget,Kistelepülés,2014,"-11,2","99,9","8,6","688512,9",0,"119,6","5,66","99,1","72,5","12,1","117130,019",0,1681,"35,7","39,9",0,"5,9","1,2","92,03",3,"22,08","29,7","2,4",100,"65,9","46,3","10,8","17,8","23,7","3,3",1,"11,9",100,"186,8",0,1,100,"2,81",0,1,0,0,0,"5,9",100,"8,5",,"296,9",1,,"-15,3",,1,"9,4",533
Kunszállás,Kistelepülés,2014,"14,4","3,6",7,"853937,9",0,"179,7","45,55","75,7","80,3","45,5","7608,49793","2,7",1683,"35,7","48,2",0,"5,9",0,0,"9,6","25,99","53,5","4,7",100,17,"46,8","10,8","23,8","20,6","2,5",1,"5,3",100,202,0,1,90,"0,59",0,1,0,0,0,"5,9",100,"14,2",,"353,5",1,,"-1,8",,100,"9,5",485
Járdánháza,Kistelepülés,2014,"-9,1","12,3","4,7","522617,9",0,"291,5","0,31","71,9",0,"45,6","161352,658",0,1864,"32,2","49,4",0,"5,4","1,1",0,"0,6","39,94","32,2",8,100,"15,2",42,"49,4","26,8","24,2","0,6",1,0,100,125,0,1,90,0,"1,1",1,0,0,0,"5,4",100,"0,6",,"197,4",1,,"3,7",,1,"7,2",2044
Nagyvázsony,Kistelepülés,2014,"6,3","11,5","11,3","896448,1",0,"163,6","26,35",100,"116,7","19,6","19855,566","4,4",1743,"40,2","41,8",0,"5,7",0,100,"4,4","26,77","68,8","3,5",100,"12,8","51,2",92,"91,8","16,7","3,9",1,39,100,"239,8",0,1,100,0,0,1,0,0,0,"5,7",100,"11,3",,"343,7",1,,"-4,6",,1,11,137
Csákánydoroszló,Kistelepülés,2014,"5,7","6,3","8,1","867636,3",0,"142,5","6,15","97,2","114,3","23,7","11267,9203",0,1738,"51,8","42,3",0,"5,8","1,2","81,21","1,3","39,18",46,"1,7","39,4","18,3","45,3","74,9","57,5","19,2","4,5",1,"5,8",100,"184,1","5,8",1,"99,32","3,21",0,1,0,0,0,"5,8",100,"7,6",,"316,5",1,,"-14,9",,100,10,327
Szederkény,Kistelepülés,2014,"14,7","5,7","8,8","833183,4",0,"214,7","29,47","99,8","86,3","74,6","26756,8946","3,1","877,5","22,8",48,0,"5,7","1,1",0,"3,1","24,94","68,4","2,7","95,8","23,6","44,7","10,3","22,8","23,3","13,2",1,"21,7",100,196,"170,9",1,90,"5,12",0,1,0,0,0,"5,7",100,"37,2",,335,1,,"-18,7",,1,"9,9",344
Tázlár,Kistelepülés,2014,"-0,6","4,5","5,8","541929,2",0,"85,7","7,14","74,4","74,3","14,9",0,0,1763,"28,4","43,9",0,"5,7","1,1",0,"6,1","56,43","39,7","6,1",100,"26,1",45,0,17,"21,7","9,8",1,"10,2",100,"165,1",0,1,90,0,"1,7",1,0,0,0,"5,7",100,"16,3",,371,1,,"-5,1",,1,8,1353
Vasmegyer,Kistelepülés,2014,6,"10,1","3,9","588317,9",0,190,"8,6","83,6",0,"23,2",0,0,1683,"29,7",44,0,"5,9",0,0,"0,2","26,92","41,6","12,7",100,"69,2","46,1",0,"35,7","22,5",0,1,"17,8",100,"142,6",0,1,90,0,"0,6",1,0,0,0,"5,9",100,0,,"193,1",1,,"-1,2",,1,"7,3",1922
Balatonkeresztúr,Kistelepülés,2014,"-15,8","22,2","13,4","729551,6",0,"435,1","37,51","97,1",0,"201,5","375857,314","2,7","744,5","100,7","49,4",0,"6,7",4,"96,05","13,1","60,61","134,3","3,8",100,"56,3","47,4","1727,7","120,9","20,7","16,1",1,"10,1",100,"158,5","134,3",1,100,"46,22",2,1,0,0,0,0,100,"41,7",,"412,4",1,,"-7,9",,1,"11,9",70
Izsófalva,Kistelepülés,2014,"-9,1","31,8","5,8","565559,6",0,"181,3","4,33","88,6",0,"20,5",0,0,,"34,7","49,4",0,"5,8","1,2","79,36","4,2","37,63","28,9","10,4","92,3","22,1","39,4",0,"23,1","26,1","1,3",1,"10,4",100,"167,2","5,8",1,100,0,"0,6",1,0,0,0,"5,8",1,"4,9",,"231,5",1,,"-9,1",,1,"7,9",1474
Karancskeszi,Kistelepülés,2014,"-14,4","11,3","7,7","534092,5",0,"158,9","2,89","87,2","27,3","32,7","7957,61002",0,1855,"32,3","50,1",0,"5,4",0,"75,09","1,4","83,56","8,1","13,4","25,9",42,"41,5",0,"43,1",16,"1,9",1,"24,3",100,"173,6","48,5",1,100,0,"1,1",100,0,0,0,"5,4",1,"3,7",,234,1,,"-4,8",,1,"8,2",1198
Jánkmajtis,Kistelepülés,2014,"16,7","7,1","5,7","445687,3",0,"295,9","17,65","89,7",0,"66,7","23240,0691",0,"843,5","29,6","54,6",0,"5,9","0,6",0,"0,9","80,9","29,6",13,"68,9","22,4","38,4","10,7","8,9","22,8","1,2",1,"49,2",100,"150,6","71,1",1,90,0,"0,6",1,0,0,0,"5,9",100,"6,8",,"241,3",1,,0,,100,"7,5",1748
Berekböszörmény,Kistelepülés,2014,"-1,6","29,9","4,4","462444,6",0,319,"6,92","94,5","44,8","43,2","6941,22413",0,1871,"48,1","47,1",0,"5,3",0,0,"1,3","69,53","53,4",13,"65,8","20,8","39,5",0,"26,7","25,7",0,1,"109,6",100,"141,1",0,1,90,0,"0,5",1,0,0,0,"5,3",100,"1,8",,"254,4",1,,"4,3",,1,8,1336
Mátraterenye,Kistelepülés,2014,"5,4","13,7","5,9","650400,7",0,"281,2","8,05","76,5","21,2","16,5","31409,8003",0,1827,"43,8",55,0,"5,5","1,6","67,68","3,2","44,51","65,7","7,7",100,"37,4","43,3","29,4","38,3","19,4","2,4",1,"24,6",100,"153,8","131,4",1,100,0,"1,6",1,0,0,0,"10,9",100,"3,7",,"236,5",1,,"-7,1",,1,9,689
Dombegyház,Kistelepülés,2014,"-16,7","15,4","6,9","608119,7",0,"299,1","24,07",83,0,65,0,0,"1008,5","44,6","48,3",0,5,"1,5",0,"3,1","50,62","44,6","5,2",100,"34,5","49,1",0,"39,7","22,2","1,6",1,"189,4",100,"144,8","69,4",1,90,0,0,1,0,0,0,5,100,"3,5",,"229,1",1,,"-11,8",,1,"8,1",1279
Hegykő,Kistelepülés,2014,"17,5",15,"11,7","786519,3",0,"268,1","17,25","89,9","158,2","77,4","113376,72","3,5",1538,65,"45,8",0,"6,5","0,7","83,1","3,7","22,17",78,"0,5","63,1","24,9","48,3","568,1","149,5",0,"4,6",1,"4,6",100,"295,8",0,1,100,"5,43","0,7",1,0,0,0,"6,5",100,"4,5",,"365,4",1,,"-9,7",,1,"11,8",76
Szendehely,Kistelepülés,2014,"-8,6",6,"15,4","1075731,5",0,"180,5","15,88","95,1","118,8","54,7","285839,764","6,4",,"39,9","45,9",0,"6,6",0,"89,67",1,"47,39","33,2","3,3","58,3","65,2","48,9","135,9","33,2","13,6","1,9",1,18,100,"277,3","39,9",1,100,0,2,1,0,0,0,"6,6",1,"2,8",,"375,7",1,,"8,6",,1,"11,2",107
Szamosszeg,Kistelepülés,2014,"1,1",12,"4,8","618315,2",0,519,"6,59",89,0,"245,2","396724,753",0,1921,"67,7","54,9",0,"5,2",0,"60,06","1,6","62,26","62,5","12,3",100,"86,5","44,7",0,"31,2","21,1",0,1,"25,5",100,"118,2","72,9",1,100,0,1,1,0,0,0,"5,2",100,"3,9",,"221,2",1,,"-5,2",,1,"9,1",672
Gyönk,Kistelepülés,2014,"31,9",9,"9,7","707578,5","113,6","428,2","6,94",100,"24,8","61,7","203490,73",0,"994,5","50,3","54,2",0,5,"2,5","78,01","3,7","79,98","100,6","5,2",100,"14,2","42,7","9,1","65,4","21,6","2,7",1,"19,1",100,185,"135,7",1,100,"4,15",0,1,0,0,0,5,100,8,,"258,9",1,,"-34,9",,100,"13,6",24
Hercegszántó,Kistelepülés,2014,"-3,9","7,9","6,8","626560,9",0,"156,4","20,06","87,2",0,41,"117526,147",0,"1006,5","59,6","54,9",0,5,"1,5",0,"2,1","69,06","24,8","4,6","74,8","15,8","38,4",0,"39,7","30,2",7,1,"11,9",100,"172,4","34,8",1,90,0,0,1,0,0,0,5,100,"10,2",,"260,8",1,,"-15,8",,1,"7,6",1704
Ricse,Kistelepülés,2014,"-3,4",13,"4,5","503849,3",0,"688,1","10,12","91,7",0,"400,3","546445,679",0,1773,"39,5","48,9",0,"5,6","0,6","71,13","3,8","62,3","8,5","10,5",100,79,"40,4",0,"8,5","25,6","1,5",1,"27,1",100,"127,5","33,8",1,100,0,"0,6",1,0,0,0,"5,6",100,"2,9",,"190,6",1,,0,,1,"8,8",820
Kazár,Kistelepülés,2014,"22,9","13,8","6,5","595731,6",0,182,"5,6","82,2",40,"62,1","57095,9402",0,1818,"38,5","53,4",0,"5,5",0,"70,32","4,3","56,79","16,5","12,3","34,1","17,7","39,6",10,"27,5",12,"5,3",1,5,100,"183,7",22,1,100,0,0,1,0,0,0,"5,5",1,"41,1",,"249,2",1,,"-33,3",,1,"8,4",1046
Pálmonostora,Kistelepülés,2014,"-23,7","6,7","5,3","541820,6",0,"107,8","5,09","56,1",0,"26,8","31244,7363",0,1799,"27,8","47,8",0,"5,6",0,0,"0,3","40,42","33,4","7,8",100,"17,1","38,4",0,"16,7","15,9",0,1,0,100,"92,8",0,1,90,0,0,1,0,0,0,"5,6",100,0,,"287,9",1,,"-4,4",,1,"6,7",2436
Nemesnádudvar,Kistelepülés,2014,0,"4,5","7,3",556074,0,"151,8","31,39",100,"60,8","9,8","40237,151",0,1788,"72,7","44,8",0,"5,6",0,"87,93","6,3","79,49","95,1","4,1","96,7","27,7","43,2","10,1","72,7","22,4","7,8",1,"15,7",100,"228,2","106,3",1,100,0,"0,6",1,0,0,0,"5,6",100,"12,3",,"350,7",1,,"-10,5",,1,"9,7",407
Tardos,Kistelepülés,2014,"-5,6",0,"9,8","1048477,8",0,"138,2","15,54",100,0,"32,5","10505,0019",0,1604,"24,9","38,6",0,"6,2",0,"99,43","1,3","22,91","18,7","2,7",100,"19,4","51,2","41,7","37,4","13,2","6,3",1,0,100,"204,5",0,1,100,0,"0,6",1,"3,7",0,0,"6,2",100,"7,8",,336,1,,0,,1,"8,7",862
Kevermes,Kistelepülés,2014,"4,9","21,7","5,9","551768,8",0,"241,5","10,14","99,4",0,"53,7","6911,05124",0,"1013,5","54,3",51,0,"4,9",0,"17,15","2,8","39,72","69,1","9,6",100,"24,1","41,3","8,9","39,5","29,8",0,1,"159,8",100,148,"93,7",1,100,0,0,1,0,0,0,"4,9",100,0,,"176,6",1,,"-6,9",,1,"8,3",1160
Tömörkény,Kistelepülés,2014,"-9,3","5,9","5,6",500192,0,"187,8","8,99","72,1","32,5","31,3",0,0,1708,"46,8","56,1",0,"5,9",0,0,"3,9","47,37","58,5","5,3",73,"8,9","40,2",0,41,"25,6",0,1,"5,3",100,"143,4","64,4",1,90,0,"1,2",1,0,0,0,"5,9",100,"2,1",,"296,3",1,,"-16,2",,1,"7,8",1507
Jászboldogháza,Kistelepülés,2014,9,"6,6","9,7","862123,9",0,"130,6","12,79","94,9","48,6","22,1","77187,0567",0,1657,"24,1","45,5",0,6,0,0,"1,6",42,"24,1","1,7",100,11,"53,1","10,9","24,1",28,"2,4",1,"27,8",100,"220,9","30,2",1,90,0,"0,6",1,0,0,0,6,100,"10,2",,"286,7",1,,"-10,2",,100,"8,8",805
Sirok,Kistelepülés,2014,"-32,9","9,5","8,9","868311,7",0,"269,9","63,08","62,5",76,"55,9","177753,559",0,1790,"39,1","54,2",0,"5,6","3,9","48,57","0,9","21,25","61,5","5,3",100,71,"44,6","50,2","55,9","19,3",0,1,"5,6",100,"189,9","55,9",1,100,"0,58","0,6",1,"1734,2",0,0,"5,6",100,0,,"288,8",1,,"-3,8",,1,"10,5",213
Kaszaper,Kistelepülés,2014,"1,6","9,9",4,"672260,9",0,"323,1","29,52","73,3","29,5","72,6","174583,237",0,,"62,8",52,0,"5,2",0,76,"11,3","37,56","41,8","3,7",100,"66,2","49,8",0,"52,3","15,9","0,4",1,"156,4",100,"201,4","31,4",1,100,0,0,1,0,0,0,"5,2",100,"8,5",,"232,7",1,,"-16,1",,1,"9,7",412
Érpatak,Kistelepülés,2014,"-10,2","38,9","3,3","402243,7",0,"139,2","11,78","90,1",0,20,"24875,2002",0,1671,"53,9","50,1",0,6,0,0,"1,7","26,85","29,9","6,7",100,45,"34,4",0,18,"21,7","0,6",1,"86,8",100,"116,1","29,9",1,90,0,"1,2",1,0,0,0,6,100,"4,1",,"267,5",1,,"-0,6",,1,7,2237
Zalaapáti,Kistelepülés,2014,"-7,2","15,8","7,9","580824,4",0,"263,7","9,7",100,0,"41,8","181042,895",0,825,"42,4","47,1",0,"6,1",0,"85,1","2,5","36,01","54,5","4,6",100,"14,6",43,"33,9","18,2","12,7","5,7",1,17,100,"186,7",103,1,100,"6,5","2,4",1,0,0,0,"6,1",100,"8,4",,"290,9",1,,"-7,2",,1,"8,7",844
Magyaralmás,Kistelepülés,2014,"9,2","9,8","13,6","1226180,2",0,"62,4","15,06","95,8","131,9","4,7","36000,8732","1,7",1534,"26,1","45,1",0,"6,5",0,"60,57","6,2","21,05","9,8","1,5",100,"72,2","56,7",0,"9,8",20,0,1,0,100,"227,5",0,1,100,"4,15",0,1,0,0,0,"6,5",100,"102,6",,"350,7",1,,"4,6",,1,"10,4",242
Nógrád,Kistelepülés,2014,"14,7","6,6","10,6","877784,4",0,"103,2","7,87","82,7","80,7","6,2","98554,8215","1,5",1368,"36,5","47,4",0,"7,3",0,"81,69","0,2","56,76","21,9",3,"60,5","26,9","42,5","34,2","73,1","5,1",0,1,"20,5",100,"277,8","43,9",1,100,0,"0,7",1,0,0,0,"7,3",1,0,,"369,2",1,,"-2,9",,100,"9,6",428
Geszteréd,Kistelepülés,2014,"1,2","12,2","4,8","562111,8",0,227,"4,73","91,8","38,2","51,8","9174,07683",0,1716,"58,3","45,9",0,"5,8",0,0,"3,3","33,19","46,6","8,6",100,68,"44,4",0,"29,1","18,7","3,3",1,155,100,"167,8","29,1",1,90,0,"2,3",1,0,0,0,"5,8",100,"10,3",,"232,5",1,,"-1,2",,1,"8,5",1017
Vajszló,Kistelepülés,2014,"-15,5","10,1","6,9","650914,1",0,"188,5","2,78","89,4",0,"30,7","323448,692",0,893,"44,8",44,0,"5,6","2,8",0,"0,7","38,5","78,4","7,7","95,9","16,5","48,3","10,1","16,8","29,8","3,9",1,"134,9",100,"191,5",0,1,90,0,0,1,0,0,0,"5,6",100,"12,9",,248,1,,"-5,5",,1,"7,8",1514
Dudar,Kistelepülés,2014,"5,5","9,2","6,7","898011,7",0,258,"9,1",98,"67,9","136,9","168787,711",0,816,"42,9","41,1",0,"6,1",0,"90,52","2,7","29,92","36,8",3,100,"48,1","49,5","70,7","18,4","19,6","3,7",1,"15,3",100,"210,8",0,1,100,"19,25","0,6",1,0,0,0,"6,1",100,"8,5",,"297,8",1,,0,,1,"10,3",267
Bajót,Kistelepülés,2014,"8,8","9,4","5,5",756008,0,"115,1","9,27","94,5",0,"34,6","10851,7316",0,1596,"43,9","50,6",0,"6,3",0,"83,01","1,5","34,11","37,6","5,5","53,2","33,5","43,5","11,3","9,4","16,4",5,1,"26,3",100,"105,3","31,3",1,100,"11,7","0,6",1,0,0,0,"6,3",100,"8,5",,"242,5",1,,"-7,5",,1,"8,1",1251
Darnózseli,Kistelepülés,2014,"-12,5","8,6",7,"869666,2",0,"203,2","15,73","99,5",0,26,"31887,9423","1,7",1503,20,"45,5",0,"6,7","0,7","95,06","4,1","34,93","53,2","1,2","92,3",19,"51,9",12,"33,3","12,5","6,9",1,"4,7",100,"224,9","113,1",1,100,"3,39",0,1,0,0,0,"6,7",100,"38,2",,352,1,,"-6,6",,1,"9,1",678
Csávoly,Kistelepülés,2014,"-6,1","12,3","5,9","581585,4",0,"164,6","45,72","98,8","37,9","24,6","18153,6507",0,1792,"33,5","48,5",0,"5,6",0,0,"0,5","78,16","39,1","5,4","85,7","32,9","42,7",0,"44,6",22,"2,5",1,"9,5",100,"198,7","33,5",1,90,0,0,1,0,0,0,"5,6",100,"3,6",,"308,6",1,,"-10,5",,1,"8,3",1108
Pusztamonostor,Kistelepülés,2014,"-12,3","8,5","5,8","842583,4",0,"102,7","9,93","85,8","51,8","9,4",0,"1,3",1527,"39,3","45,9",0,"6,5",0,"6,11","1,8","58,36","58,9","3,1",100,"16,2","49,3",0,"32,7","4,7","1,7",1,"4,6",100,"205,6","45,8",1,100,0,0,1,0,0,0,"6,5",100,"5,1",,"262,6",1,,-11,,100,"8,9",774
Miske,Kistelepülés,2014,"-27,8","15,4","5,8","502741,4",0,"351,9","7,06","99,6","21,4","48,1",0,0,1625,"43,1","48,3",0,"6,2",0,"84,26","0,7","82,96","30,8","8,1",100,"11,3",43,0,"18,5","17,6",0,1,"19,1",100,"243,1",0,1,100,0,"1,2",1,0,0,0,"6,2",100,0,,"336,6",1,,"-9,1",,1,"8,5",992
Győrság,Kistelepülés,2014,0,"3,5","11,3","1072995,4",0,"116,5","6,8","96,8",0,11,"58670,8055","3,4",1435,"10,5","47,2",0,7,"0,7","76,19","0,9","20,58","20,9","2,5",100,"29,2","51,1",0,"10,5","18,8","2,7",1,"5,6",100,"203,5",0,1,100,"30,82",0,1,0,0,0,7,100,"6,5",,"340,8",1,,0,,1,"8,8",798
Tállya,Kistelepülés,2014,-10,"6,4","7,8","684042,7",0,"765,2","31,97",98,"38,6","72,6","18305,2442","1,1",938,48,"45,2",0,"5,3","1,1","74,55","12,4","50,6","85,3","8,4","79,4","11,1","43,3","87,8","74,6","14,9","12,7",1,33,100,"183,4","90,6",1,100,0,0,1,0,0,0,"5,3",100,"16,4",,"261,2",1,,"-9,5",,100,"10,9",148
Győrtelek,Kistelepülés,2014,0,"34,9","5,4","423300,1",0,"304,8","3,8",87,0,"106,9","136350,178","2,1",789,"50,7","49,6",0,"6,3","0,6","22,69",0,"58,55",38,"15,2",100,30,"35,6",0,"9,5","21,9",0,1,"49,4",100,"101,4",76,1,100,0,"1,3",1,0,0,0,"6,3",100,0,,"198,4",1,,"-10,7",,100,"8,2",1218
Álmosd,Kistelepülés,2014,"-3,7","11,8","5,4","517070,3",0,"214,6","5,1","95,2",0,"31,8","212396,05",0,1615,"43,3","46,8",0,"6,2","0,6","27,07",1,"39,57","9,3","11,1","99,1","14,3","39,4",0,"9,3","15,7",0,1,"22,3",100,"137,5",31,1,100,0,"1,9",1,"604,2",0,0,"6,2",100,"2,7",,"213,6",1,,"-5,5",,1,"7,7",1628
Ikervár,Kistelepülés,2014,"1,1","2,9","9,5","1081081,5",0,"181,9","40,52","99,3","117,9","6,5",0,"1,5",1742,23,"39,1",0,"5,7",0,"88,21","6,2","27,58","40,2","1,8",100,"16,2","55,9",0,23,"18,5","8,8",1,"4,6",100,"214,1",0,1,100,"21,5",0,1,0,0,0,"5,7",100,"13,2",,337,1,,"-2,9",,1,"10,7",172
Kisléta,Kistelepülés,2014,"-13,3","11,7","4,4","491539,7",0,"271,4",0,"94,7",0,"76,2","105272,309",0,1875,"26,7","36,7",0,"5,3","1,1",0,"2,2","35,26",16,"10,7",100,"11,8","40,3",0,8,"35,5",0,1,40,100,"90,7","26,7",1,90,0,"1,1",1,0,0,0,"5,3",100,"1,4",,"205,9",1,,"-2,7",,1,"7,1",2126
Csabacsűd,Kistelepülés,2014,"-10,7","2,9","5,9","763348,5",0,"279,8","20,35","93,3",55,"92,6","259938,176",0,1752,40,"54,5",0,"5,7","2,3",0,"2,1","39,86",40,"2,7",91,"10,4","51,8",0,40,"25,6","1,1",1,"19,4",100,"206,1",40,1,90,0,0,1,0,0,0,"5,7",100,"4,2",,"282,5",1,,"-16,8",,100,"9,1",638
Bakonyszentlászló,Kistelepülés,2014,"-8,6","9,9","7,3","930125,5",0,"231,4","12,1","81,4","85,2",54,"91351,9875",0,1721,"34,9","44,9",0,"5,8","0,6","69,67",1,"41,08","34,9","1,9",100,46,"47,4","247,1","52,3","26,7",0,1,"4,6",100,"188,3",0,1,100,"28,29","1,7",1,0,0,0,"5,8",100,"3,2",,"335,9",1,,"-5,8",,100,"10,3",259
