Település,Településtípus,Év,Belföldi oda- és elvándorlás különbsége ezer lakosra,Bűncselekmények száma ezer főre,Diplomások aránya (interpolált),Egy lakosra jutó SZJA adóalapot képező belföldi jövedelem (Ft),Gimnáziumi tanulók a nappali oktatásban ezer főre,Helyi önkormányzatok összes költségvetési bevétele (1000 Ft) egy főre,Iparűzési adó egy főre (1000 ft),Közüzemi ivóvízvezeték-hálózatba bekapcsolt lakások aránya (százalék),Lakások átlagos négyzetméterára,Alapszolgáltatásokon felüli kiadások egy főre (1000 Ft),Állami támogatások egy főre (pályázatok),"Az év folyamán épített lakás, 1000 lakásra (db)",Egy házi- és házi gyermekorvosra jutó lakos (fő),Élelmiszer és élelmiszer jellegű belkereskedelmi egységek száma tízezer főre (db),Eltartottsági ráta,Gyógyszertárak tízezer főre,"Játszóterek, tornapályák, pihenőhelyek ezer főre",Kulturális rendezvényeken részt vevők száma egy főre,Nem élelmiszer jellegű belkereskedelmi egységek száma tízezer főre (db),"Nyilvántartott álláskereső, 100 15-64 évesre (fő)",Önkormányzati járdák kiépítettsége (százalék),Önkormányzati utak kiépítettsége (százalék),"SZJA adófizető, 100 lakosra (fő)",Vendégéjszakák száma a kereskedelmi szálláshelyeken száz főre (db),Vendéglátóhelyek száma tízezer főre (db),25 év alatti nyilvántartott álláskeresők aránya (százalék),Házi segítségnyújtásban részesülők ezer főre,Internet-előfizetések száma ezer főre,Jelzőrendszeres házi segítségnyújtásban részesülők tízezer főre,Lakosságtól szelektíven elszállított települési hulladék aránya (százalék),Önkormányzat által kiutalt lakások ezer főre (db),"Személygépkocsi, 1000 lakosra (db)",Indexpontszám,Rangsor
Orosháza,Város,2022,"-9,4","6,1","15,3","1999519,3","32,3","316,8","72,41","92,7",242,"43,1","70977,3","0,5","1698,1","61,6","60,6","3,1",14,"0,9","109,5",3,100,"29,7","51,1","278,7",53,"13,4","12,3","301,5","37,3","23,74","1,2","424,1","28,4",43
Szentes,Város,2022,"-3,8","4,5","15,5","2060054,4","20,6","298,2","73,87","98,7",300,"26,5","175590,3","0,4","1495,1","47,2","59,3","3,5","0,2","0,5","103,1","1,6","99,7","63,9","54,6","172,8",46,"14,9","2,8","378,1","25,2","26,21","1,2","411,2","27,8",44
Gyál,Város,2022,"0,5",4,"12,7","2416996,2",0,"264,5","109,52","97,9",593,"58,7","634,8","0,2","2223,9","22,1","46,7","1,6","0,3","4,6","39,7","1,5","55,3","68,9","54,5","86,8","18,8","10,7","2,8","320,5","54,8","28,8",0,"494,8","20,3",63
Siófok,Város,2022,"2,6","18,1","21,6","2119332,7","25,1","430,5","86,18","82,5",872,"80,4","34324,2","21,5","1524,4","58,6","62,4","2,5","1,1","2,8",182,"2,9",100,"77,8","50,8","4583,4",187,"8,5","3,6",456,0,"49,29","0,3","505,8","37,5",9
Kazincbarcika,Város,2022,"-6,6","7,2","15,6","2268163,2","24,6","548,9","296,92","98,1",258,"136,2","45535,8","0,5","1523,3","42,3",54,"3,3","0,1","1,6","91,1",4,"7,1","33,9","50,1","117,7","36,9","11,1","8,9","432,7","13,1","23,06","0,6","390,4","30,7",33
Tata,Város,2022,"-0,1","4,2","24,2","2870558,8","44,8","374,4","81,03","95,2",534,"80,7","53143,6","3,4","1705,8","40,6","55,2","2,9","3,2","3,3","100,1",2,"94,7","61,9",55,"510,5","70,8","11,1","2,1","361,6","25,1","17,75","0,6","440,9",41,2
Dunaharaszti,Város,2022,"6,1","5,6","22,1","2883682,7","20,3","382,4","160,32","95,7",654,"48,6","38796,7","5,7","1477,3",30,"52,9","2,1","0,3","0,2","67,3",1,"64,7","53,3","53,4","26,9","26,2","9,2","1,7","340,3","16,9","15,1",0,"470,2","33,8",17
Hajdúszoboszló,Város,2022,"5,4","2,6","17,5","1994234,8","22,5","356,8","40,59","97,1",500,"84,7","43259,7","2,9","1805,8","38,3",58,"2,6","1,9","5,8","103,9","3,8","97,7","37,1","53,1","4867,6","92,9","12,4","6,7","389,2",0,"8,5","0,4","395,1","32,5",25
Nagykőrös,Város,2022,-1,"10,6","12,3","2018933,8","17,4","167,9","36,76","81,4",281,"36,1","1924,9","2,2","1536,8","33,8","56,1","2,6","0,5","0,5","65,5","3,5","92,3","17,6","51,3","44,4","24,3","11,9","1,8","314,9","18,7","26,07","2,3",424,"20,2",64
Göd,Város,2022,"-5,1","4,8",29,"3131593,6",0,"235,6","29,98","98,3",722,"35,8","21812,5","7,9","2199,2",25,"55,6","1,8","1,1","0,4","32,3","1,1","36,1","56,8","53,5","65,8","30,5","5,8","3,8","371,8",10,"15,2","0,3","429,8","20,3",62
Makó,Város,2022,"0,9","4,4","13,3","1893571,4","22,6","449,3","64,31","99,4",262,"224,6","89335,3","0,5","1369,6","45,6","57,6","3,2","1,2","0,9","96,3","1,8",100,"49,5","51,2",365,"51,6","8,9","5,7",372,"34,2","44,53","1,4",386,"29,4",37
Komló,Város,2022,"1,3","5,9","10,1","1551837,6","13,5","273,7","27,81","89,8",190,"172,4","122331,9","1,2","1365,9","34,8",58,"3,7","2,8","1,9","55,4","3,3",100,"26,6","45,2","211,8","31,6","14,3","11,7","391,8","22,4","9,93","0,9","369,6","22,1",59
Vecsés,Város,2022,"8,2","7,6","16,9","2629883,5","9,9","459,9","199,37","86,6",637,"50,4","30533,7","0,6","1941,1","36,5","50,3","2,3","0,9","1,4",82,"0,9","98,2","62,5","53,6","943,3","55,3","8,3",3,"368,3","15,5","17,55","0,1","560,8","32,6",24
Fót,Város,2022,"-0,1","6,1",22,"2666523,3","20,8","379,4","96,91","92,7",742,"75,3","61609,8","8,3","2621,9","25,7","50,1","1,9","0,2","1,8","51,5","1,1",98,"37,9","53,2","3,5","31,5","3,7","1,6","378,8","27,7","15,26","0,1",522,"30,5",35
Veresegyház,Város,2022,"10,9","3,3","28,2","3211974,7","19,9","392,1","66,08",89,702,"117,2","120666,7","14,4","1484,5","30,8","54,8","1,9","0,2",1,"65,9","1,1",100,"57,2","52,9","97,7","34,6","5,4","1,3",373,"8,7","18,75",0,"441,2",35,15
Hatvan,Város,2022,"-2,2","8,7","17,5","2743776,8","32,6","571,9","215,78",98,381,"272,2","3085,6","1,2","1861,8",41,"50,5","3,4","4,3","3,1","126,5","3,1",100,"38,3","58,1","28,2","45,9","7,9","2,5",385,0,"11,59","0,2","456,6","36,7",12
Gyömrő,Város,2022,"21,2","1,9","20,4",2811002,"16,8","258,4","12,84","97,9",687,"88,3","16827,2","0,7","2021,6","36,1","56,5","1,5","0,2","0,5","56,4","1,3",34,"83,4","53,2","91,7","34,6","9,8","3,6","338,5","18,8","15,1",0,"391,1","25,6",52
Komárom,Város,2022,"-1,8","6,6","16,8","2963080,9","22,7",587,"193,15","97,3",440,"372,1","65043,9","2,9","1786,6","34,6","51,4","2,5","1,6","9,5","105,8","1,5","99,7","55,5","56,5","391,5","52,4","9,9","1,1","269,7","16,3","11,25","0,3","461,4","40,9",4
Várpalota,Város,2022,2,"4,6","12,6","2427062,8","13,5","243,6","35,92","98,3",432,"66,2","20383,2","3,8","1509,5","31,1",53,"3,1",1,"1,3","75,4",2,100,"44,7","54,8","40,4",29,"9,6",19,"375,5",0,"6,04","0,3","414,7","25,8",50
Törökszentmiklós,Város,2022,"-4,3","4,7","10,2","1867217,2","16,4","291,2","50,53","98,5",259,"68,9","67707,6","0,2","1490,8","35,6","56,8","2,6","0,2","2,3","78,9","3,9","72,1","34,5","50,8","49,8","25,8","14,5",11,323,"36,1","17,77","0,8",344,"22,5",58
Monor,Város,2022,"15,1","6,2","14,6","2516531,4","41,4","284,8","52,13","89,2",571,"130,1",0,"1,6","2377,5","35,2",49,"2,6","0,5","1,7","81,5","1,8",100,"25,1","54,9","6,7","33,1","14,2","4,8","328,3",0,"13,86",0,"417,6","28,4",42
Karcag,Város,2022,"-7,6","9,6","11,7","1820595,5","18,1",1233,"37,98","99,4",234,"347,6","57605,4","0,5","1422,7","38,9","57,2","3,2","0,3","4,3","74,1","4,5",100,"17,1","50,8","89,7","30,8",16,"18,5","342,8",0,"21,43","0,8","363,8","24,9",55
Pomáz,Város,2022,"11,5","4,1","27,1","2722287,9","6,8","170,3","24,43","82,4",695,"12,1","48410,8","11,6","2631,3",25,"53,3","2,2","0,1","0,6","35,8","1,1","56,7","74,3","52,8","42,3","31,5","5,1","1,8","344,3","5,4","11,69",0,"425,4","21,4",60
Szigethalom,Város,2022,"11,3","5,1","12,9","2347079,7",0,"194,8","12,48","88,7",529,"21,7","25554,8",8,"2285,8","26,8","48,8","1,6","0,1",1,"32,3","1,4","93,1","82,8","52,7","13,4","25,2","6,8","1,7","332,3",0,"7,96",0,"451,6","15,5",67
Oroszlány,Város,2022,"-8,4","7,1","10,8","2464878,7","13,8","303,3","128,27","96,9",373,"48,6",12149,"0,1","1505,3","34,3","48,6","2,8","0,9","2,7",52,2,100,"51,6","54,7",78,"24,4","9,9","4,8","373,6","22,1","5,43","0,2","395,9","25,2",54
Keszthely,Város,2022,-7,"5,9",24,1885775,"25,1",309,"56,46","88,4",555,46,"1225,8","18,6","1060,7","47,7","66,6","4,4","1,5","5,9","187,5","1,9","98,7","59,9","49,4",1124,91,"8,7","5,3","439,2","34,9","27,36","0,5","496,6","32,6",23
Százhalombatta,Város,2022,"-6,5",4,"19,8","2950601,5","39,9","721,1","428,39",98,607,"67,3","9475,2","3,5","1373,5","16,8","51,3","2,2","1,7","6,4",47,1,100,78,"55,5","323,1","31,4","8,6",2,"405,7",0,"14,67","1,3","485,5","40,7",5
Paks,Város,2022,"-12,3","3,5","22,6","3681045,8","27,1","843,7","290,66",100,480,"240,7","31141,7","1,3","1485,6","40,4","56,3","3,9","0,8","3,8","113,3","2,1",100,"31,7","56,6","121,3","53,3","12,3",2,"401,3","23,6","23,74","2,3","538,6","37,9",8
Békés,Város,2022,"-0,4","4,1","11,7","1672038,3","9,6","378,6","18,83","97,5",227,"49,7",236215,"0,1","1611,5",35,"57,9","2,3","0,2","3,1","66,6","5,3","65,6","25,6","51,1","78,1","36,7","14,4","24,4","336,6","14,7","31,77","0,3","404,2","20,6",61
Dabas,Város,2022,"18,1","4,6","13,3","2414657,8","35,5","359,2","75,36","96,2",409,"96,7","34724,9","13,7","1947,4","37,7","53,8","2,3","0,2","0,5","80,4","2,9",100,"32,5","54,7","100,6","26,8","13,2","2,4","332,3","18,3","11,87","1,5","487,7","31,1",29
Pécel,Város,2022,"19,3","2,1","22,3","2764425,7","14,6","152,4","23,45",100,648,"35,1",22215,"11,8","2475,9","14,4","53,1","1,7",0,"0,2","27,1","1,2","98,8","22,2","53,9",0,15,"8,9",1,"320,1",0,"18,43","0,1","437,2",23,57
Mohács,Város,2022,-1,9,"15,2","1785857,8",21,"785,7","84,79","85,9",255,319,"30900,4","7,6","1731,5","44,5","59,6","3,5","0,8","2,7","113,8","3,8","92,3","34,9","47,3","116,9","39,8","9,4","3,4","367,8","24,8","15,95","1,1","406,2","29,5",36
Dombóvár,Város,2022,"-4,9","8,3","14,9","1928121,5","27,2","268,9","39,67","94,4",246,"85,6","78955,9","3,8","1441,7","29,5","60,4",4,"0,6","2,7","95,4","3,1",100,"43,6","48,2","402,8","32,4","12,7","4,6","381,6","31,2","27,46","1,5","427,3","26,1",48
Balmazújváros,Város,2022,"-5,4","4,6","9,8","1735415,7","6,8","247,9","21,83","89,6",379,"7,7","43792,9","4,2","1540,8","38,4","54,2","1,8","0,6","1,3",72,"4,6","99,3","26,7","52,1","112,3","27,1","15,3",20,307,"40,7","18,73","1,4","351,1","19,5",65
Hajdúnánás,Város,2022,"-3,5","4,4","11,9","1786661,7","24,2",333,"35,56",100,312,"40,5","91067,8","1,3",1474,"39,5","55,5","2,5","0,4","1,3","78,9",2,100,63,"54,1","223,5","30,2","11,4","15,2","314,5","16,7","16,29",3,"383,9","26,1",49
Mezőtúr,Város,2022,"1,3","7,2","12,3","1815589,7","25,2","317,4","56,59","99,1",191,"68,4","78363,4","0,3","1955,5","28,8","63,1","3,2","0,2","0,3",69,"3,7",100,"12,9","51,3","83,7","34,5",13,"6,1","321,3","25,6","17,55",1,"367,2",23,56
Mezőkövesd,Város,2022,"-0,8","12,4","16,8","2143733,2","28,7","428,5","78,74","89,8",262,"85,3","31371,9","1,4",1732,"41,1","59,3","3,2","0,6","2,4","119,3","4,9","98,5","45,9","51,3","922,8","78,3","13,3","12,3","345,2","1,3","29,63","0,1","410,9","29,3",39
Tiszaújváros,Város,2022,"-15,8","6,3","19,3",3040462,"37,3","846,6","555,63",100,406,"38,5","12951,7","5,1","1289,9","34,9","48,9","2,6","3,9",3,"98,8","2,9",100,"80,5","55,3","542,6",51,"13,9","7,9","429,2","51,7","15,97","0,3","430,8","36,4",13
Budakeszi,Város,2022,"10,3","4,9","36,5","2877008,8","54,4","296,7","43,1","99,6",835,"61,3","12690,3","10,3","2210,4","19,4","62,2","2,6","0,3",1,"55,6",1,100,"28,7","50,5","52,4","22,6","6,9","2,1","365,5","12,3","19,56",0,"426,7","34,2",16
Csongrád,Város,2022,"3,6","5,2","15,6","1916350,7","24,9","332,9","71,14","90,2",258,"40,8","52351,5","0,7","1545,4","33,6","62,1","3,9","0,3","2,5","80,9",2,"98,2","54,2","50,9","166,1","56,3","10,7","7,2","355,8","33,6","31,79","0,4","470,2",27,45
Mátészalka,Város,2022,"-16,3","10,6","20,6","2263951,8","30,6","474,3","112,89",100,289,"87,8","280072,1","1,8","1096,5","48,9","56,2","5,9","1,7","3,1","143,3","2,9","98,5","40,1","54,3","47,1","52,1","11,7","29,8","410,3","33,9","20,39",0,"453,5","26,8",46
Biatorbágy,Város,2022,21,"5,7","29,6","3348196,7",0,"547,4","228,6",97,860,"123,3","103730,6","17,3","1683,4","27,7","51,8",2,"0,7","0,9","127,4",1,100,"35,3","53,4","8,4",33,"5,7","1,7","342,5","13,9","29,51",0,"456,4","33,6",19
Sárvár,Város,2022,"-7,6","7,9","16,4","2425649,1","16,3","331,4","133,75","96,2",402,"119,4",39992,"4,1","1875,4","30,7","50,7","2,7",1,"3,4","131,3","1,5",98,"77,5","54,9","4614,4","71,3","7,7","3,1","320,1",0,"17,39","2,6","439,9","32,7",22
Kisvárda,Közepes település,2022,"-22,5","5,9","20,6","2256565,7","90,3","295,4","78,87",99,318,"74,4","53400,6","4,5","1873,8","53,4","52,2","4,7",0,"2,6","200,8",3,"63,3","61,4","53,1","228,6","66,7","13,7","36,4","257,1","76,1",39,"0,5",426,"28,9",11
Törökbálint,Közepes település,2022,"14,7","5,2","27,8","3080010,7","22,7","538,6","240,67","89,9",801,"119,9","82069,5","11,1","1474,1","24,4","55,1","2,7","0,6","1,1","82,1","0,9","99,8",59,"52,9","91,6","29,8","8,6","3,1","333,6","25,1","29,65",0,"489,4","36,4",2
Abony,Közepes település,2022,"5,8","5,7","9,6",1889439,"10,5","219,1","19,84","96,1",184,"50,9","305972,3","1,7","1624,7","27,4","56,3","2,1","0,3","0,7","56,8","2,8",100,"32,6","50,4","8,7","23,9","9,2","2,5",287,"1,4","12,58","0,3","373,6","18,1",121
Kalocsa,Közepes település,2022,-5,"6,2","17,1","2016871,4","35,6",307,"39,37","96,6",265,"70,5","78707,5","1,8",1329,"52,7","60,1","4,1","0,1","2,6","144,3","2,7","90,3",62,"51,4","107,2","51,3","12,5","12,9","381,8",0,"19,02","0,5",489,"24,2",56
Pilisvörösvár,Közepes település,2022,"2,2","2,6",20,"2429777,7","39,6","403,8","64,12","87,7",688,"68,7","21334,7","10,6","2061,1","22,2","53,5","2,1","0,4","1,9","67,2","0,8",100,"43,8",52,"83,4","23,6","7,1","2,8","325,3",0,"24,99","0,2",419,"28,5",13
Szarvas,Közepes település,2022,-12,"4,6",18,"1923187,6","23,9","397,2","74,53","90,6",253,"87,8","102949,7","0,6","1603,1",34,"59,5","2,1","0,6","4,3","99,1",2,"81,3","19,6","54,1","796,2","48,5","17,4","22,2","379,2","72,1","48,32","1,3","428,5","28,1",16
Tapolca,Közepes település,2022,"-7,2","4,2","16,3","1963550,8","18,7","272,8","49,54",100,394,"33,9",16692,0,"1420,6","42,2","60,2","2,8","0,6","1,8","128,1","2,1",100,"32,2","51,3",979,"50,7","8,2","13,8",386,"19,7","3,38","0,8","463,8","24,6",50
Berettyóújfalu,Közepes település,2022,"-2,9","5,3","15,5","2018500,3","16,5","372,2","41,42",100,284,"101,6","103873,2","4,3",1755,"45,6","57,4","4,3","0,4","4,7","113,2","3,4",100,"42,1","51,8","47,6","39,9","10,9","25,9",360,0,"4,78","0,3","404,8","25,2",43
Balassagyarmat,Közepes település,2022,"-4,2","9,4","18,3","2417863,3","57,4","390,7","51,53","98,8",285,"104,4","30443,3","0,4","1559,6","48,4","59,1","4,3","0,4","3,5",176,"3,7","99,3","45,3","53,5",84,"51,3","10,7","3,3","434,7","19,9","7,77","0,5","449,1",28,17
Hajdúsámson,Közepes település,2022,"15,4","5,2","10,5","1802302,1","4,2",119,"10,12","91,2",365,"32,8","22630,3",16,"1994,3","24,4","44,1","1,4",0,"0,8","35,8","4,9","54,7","21,4","50,7","9,1","12,2","14,1","18,5",269,"21,5","18,34",0,"389,1","14,7",165
Kistarcsa,Közepes település,2022,"12,5","6,2","22,8","2874579,5",0,"191,8","46,6",100,667,"28,2","39844,1","10,5","2721,2","22,8","54,4","2,2","0,1","3,6","46,3",1,"30,5","46,2","53,2","9,4","16,9","8,1","1,9","350,4","29,4","25,69",0,443,"20,1",98
Mór,Közepes település,2022,"-5,7","2,6","13,3","2538557,1","18,1","600,4","199,72",100,426,103,"16348,7","3,3","1693,4","35,4","52,5",3,1,7,"105,6","1,6","98,4","25,1","54,2","178,3","42,8","5,9","2,9","374,8",0,"11,84","1,3","448,1","30,1",8
Albertirsa,Közepes település,2022,"15,6","2,2",12,"2250733,6",0,"149,7","29,33","83,6",424,"16,9","3844,2","11,9","2255,5","33,3","52,3",3,"1,1","0,9","77,6","2,1","98,6","21,3","53,2","30,4","36,2","4,2","0,8","318,6","5,9","19,21","0,2","416,8",17,142
Gárdony,Közepes település,2022,"16,8","7,2","25,7","2805077,2","13,3","311,8","22,95","63,9",682,85,"6136,9","8,5","2697,2","32,6","61,4","2,2","0,4","2,1",40,"1,6",100,"61,4","53,3",1030,"109,7","7,6","2,2","410,4","5,9","38,82",0,"408,5","23,5",60
Kiskőrös,Közepes település,2022,"2,6","6,1","15,2","1804957,5","30,8","263,4","59,63","86,6",303,"59,4","90031,4",0,1480,"39,8","62,4",3,0,"0,9","141,1",2,100,"23,9","51,8","262,2",42,"14,9","5,7","351,4",0,"23,81","3,5",494,"23,5",61
Püspökladány,Közepes település,2022,"-4,6","5,5","13,1","1918288,4","6,9","328,2","24,53",100,242,27,"38953,9","0,5","1464,4","28,8","56,7","3,8","0,5","3,6","74,4","3,7",100,"49,4","51,5","125,8","27,3",10,"13,1","445,1","38,7","3,3","0,4",359,"20,1",97
Sátoraljaújhely,Közepes település,2022,"-10,6","9,8","15,8","1899964,6","4,4","1091,2","98,81",100,188,"655,4","71458,6",0,1458,"50,3","57,9",3,"0,4","3,4",112,"6,8",100,40,"48,1","418,2","59,4","16,2","14,9","347,4",0,"17,67","7,5","386,2","26,1",35
Hajdúhadház,Közepes település,2022,-5,"7,3","4,4",1209797,0,"319,4","12,16","89,6",179,82,"37594,8",1,"2176,2","41,4","55,2","1,5","1,1","0,5","49,8","9,1","94,7","26,5","42,3","9,8","8,4","14,1","23,7","237,8","13,8","18,45",0,"254,3","12,3",182
Balatonfüred,Közepes település,2022,"-0,8","8,6","23,3","2250717,5","44,9","1050,6","81,35","89,5",1049,"765,2","30034,1","5,2","1631,6","65,9","61,8","3,8","1,3",11,"194,6","1,9","98,8","67,6","52,4","7280,1","236,7","9,1","4,3","526,5",141,"16,29","0,6","501,2","42,3",1
Üllő,Közepes település,2022,"8,9","3,1",14,2622636,0,"334,1","173,71","94,8",588,"57,9","9865,6","1,1","1801,6","38,1","49,6","2,4","0,2","0,7","38,9","1,3","99,8","32,3","55,1",98,"34,1","10,9","1,8","343,3","32,5","22,88",0,"445,7","22,3",70
Maglód,Közepes település,2022,"2,2","5,2","19,1","2735121,2",0,"176,5","52,64",100,677,"65,9","8658,8","0,9","2068,7","25,8","49,9","2,4",0,"1,3","67,7","1,1","78,5","71,5","55,6","10,3","21,8","4,3","4,3","334,8","4,8","18,16",0,"462,1","19,5",102
Tiszavasvári,Közepes település,2022,-4,"10,3","10,3",1567564,"14,8","332,5","29,83",100,171,"100,1","58184,5","0,4","2056,3","39,7","58,9","2,4",0,"4,7","67,3","6,9","72,5",15,"45,6","30,2","38,1","22,3","15,4","254,6","49,4","13,92","0,2","324,9","19,5",103
Újfehértó,Közepes település,2022,"1,5","3,9","9,5","1794676,4","10,4","294,3","17,07","98,1",272,"60,8",5672,"4,2","1357,6","44,2","47,2","2,5",0,"2,8","77,8","3,1",100,"21,9","54,3","10,4","20,5","10,6","20,8","292,7","32,7","13,91","0,8","409,7","19,2",106
Bonyhád,Közepes település,2022,"-7,5","4,7","15,8","1779178,6","71,4","294,1","41,3",100,314,"64,7","44090,2","0,4","1216,3","40,3","61,8","3,3","0,3","4,3","138,1","1,7","99,6","30,2","47,2","93,1",37,"16,6",6,"372,9","60,8","21,19","0,2","471,4","25,7",39
Gyomaendrőd,Közepes település,2022,"-5,5","5,1","11,3","1557120,6","8,6","370,1","33,14","86,6",175,"33,7","51402,3",0,1518,"32,9","61,3","2,5","0,4","1,4","76,6","4,4",100,"17,7","50,1","343,3","50,2","12,1","35,5",341,"8,2","22,93","0,5","386,2","19,1",108
Budakalász,Közepes település,2022,"10,5","6,8","33,5","3119528,2",0,"266,8","58,32","89,5",783,"45,9","198844,3","10,4","2002,2","22,5","61,3","1,7","0,4","2,4","60,8","0,9",100,"47,3","51,9","12,3","51,6","3,6","1,2","336,7",0,"33,67","0,2","425,5",23,64
Nagykáta,Közepes település,2022,"-1,1","7,5","11,1","2067596,1","24,4","213,5","29,96",99,335,"86,5","13659,3","1,8","1712,1",35,"52,6","2,5","0,8","0,6","110,1","3,4",100,"31,1",52,"21,7","42,6","9,2",3,"316,6",10,"22,06",0,"457,6","21,3",82
Halásztelek,Közepes település,2022,"23,9",2,"20,5","2805618,9","43,5","166,7","40,42","99,9",621,"40,5","10541,6","10,8","3965,3",21,"54,7","1,7","0,2","1,2","31,9",1,100,"66,8","53,5","10,7","12,6",5,"1,3","347,7",0,"8,55",0,"505,4",25,45
Pilis,Közepes település,2022,"-2,4","8,8",10,2028602,0,"154,1","14,34","70,8",441,"14,4","25365,7","3,4","2365,4","32,1","48,1","2,5","0,1","0,9","60,9","2,6",100,"64,9","50,3","15,9","21,1",9,2,290,0,"13,71",0,"415,4","14,1",173
Kőszeg,Közepes település,2022,"8,8","7,9",17,"1686742,1",49,"257,4","28,34","99,4",402,176,"36860,2","0,6","2930,8","31,6","51,6","2,6","0,7","6,3","79,3","1,6",97,"46,7","44,4","608,8","61,4","11,5","6,7","356,6",0,"18,44","0,7","468,3","26,4",32
Kiskunmajsa,Közepes település,2022,"-0,2","13,3",10,"1598644,6","15,7","188,5","49,63",75,213,"37,2","44512,4","3,3","1459,4",48,"51,9","2,6","0,2","0,9","137,9","2,5","41,2","11,8","49,4","767,2","64,2","3,7",4,266,"28,3","33,57","0,1","414,1","18,7",114
Tiszakécske,Közepes település,2022,"6,4","3,9","11,1","2015749,4","20,2",450,"225,28","95,8",285,"90,5","3197,2","2,5","1666,3",48,"57,5","1,7","0,3","1,8","79,7","1,7","99,6","18,2","51,1","758,5",66,"5,8","5,6","313,2","34,3","29,85","2,7",489,"28,1",15
Lajosmizse,Közepes település,2022,"0,3","12,9","9,7","1770765,6",0,"345,1","55,76","66,3",346,41,"86206,7","6,7","1456,6","25,7","54,1","1,7","0,2","2,2","79,8","2,3",100,"20,2","49,3","199,4","41,2","6,8","2,3",293,0,"12,35","0,3","459,5","16,8",147
Isaszeg,Közepes település,2022,11,"3,1","15,7","2432267,5","8,7","162,4","18,86","93,7",455,"49,6","33763,7","7,3",2329,"27,5","50,4","1,7","0,3","1,1","51,5","1,7","72,4","15,5","53,4","48,5","21,5","9,8","2,2","320,1",0,"18,45",0,"427,1","19,3",105
Diósd,Közepes település,2022,10,"3,9","33,9","3543790,5","8,7","189,3","37,03","91,4",669,"34,6","10225,5","10,1",1914,"24,4","54,1","1,7","0,4","0,8","37,4","0,8",100,"37,9",53,"11,1",20,"6,8","1,1","378,2","17,4","34,14","0,1","466,6","24,8",48
Sárbogárd,Közepes település,2022,"-10,2","4,1",10,"2187792,9","28,4","347,9","25,57",98,264,"136,7",12330,"0,6","1639,3","29,6","53,4","3,5","0,3","0,4","76,7","2,9",100,"91,9","54,9","11,1","22,7",9,7,"294,7","16,6","9,96",0,"434,7","21,2",84
Dorog,Közepes település,2022,"-4,6","3,9","12,3","2423497,4","24,8","393,4","142,69","97,3",448,"51,5","7590,1",0,1428,"40,3","52,3","2,6",1,"0,7","122,5","1,8","99,5","80,6","54,5","118,1","39,4",9,"7,1","403,5",0,"5,25","0,6","420,4","27,1",26
Nyírbátor,Közepes település,2022,"-9,6","14,6","14,9","1882052,1","26,2",657,"196,68","96,7",230,"94,8","147668,9","0,6","1423,5","42,1","51,9","3,5","0,4","1,4","143,1","7,2","93,8","24,3","48,8","221,8","49,2",14,"13,9","309,3","43,9","23,93","3,2","415,9","27,7",22
Tököl,Közepes település,2022,"17,4","4,5","14,8","2620171,7",0,"238,8","32,81","99,8",494,"14,5",96165,"13,9","2266,4","30,9","46,2","1,8","0,4","1,4","47,7","1,2",100,94,"54,7","11,3","16,8","8,5",0,336,0,"10,07",0,"432,8","20,4",94
Bátonyterenye,Közepes település,2022,"0,5","12,9","9,8","1770176,7","3,4","357,2","33,74","99,5",147,"37,2","159093,9",0,"1410,5","29,2","58,5","1,8","1,1","0,4","40,8",6,98,"34,2","48,4",30,"33,7","11,7","17,1","335,8",132,"7,04","0,8","402,5",18,124
Sajószentpéter,Közepes település,2022,"-3,6","5,1","9,8","1699732,9",0,"276,3","13,03","95,5",193,"59,4","72270,4","1,1","1252,7","23,9","50,5","1,8","0,7","1,1","45,2","4,3",100,"42,9","45,1","49,4","24,8","13,1","18,4","304,3","63,9","23,06","0,2",317,"15,6",158
Bicske,Közepes település,2022,"7,4",12,"15,4","2245200,1","2,8",323,"132,55","94,9",461,"42,9",76978,"9,8","1609,4","39,1","50,9","2,7",1,"1,4","87,9","1,7",100,"50,6","49,6","11,3","24,9","6,7","1,9","335,1","48,8","23,75",0,"479,4","24,4",54
Kerepes,Közepes település,2022,"21,5",8,"20,8",2680253,0,"131,3","27,68",100,580,"16,6","8079,1","17,4","2213,2",19,"49,5","2,7","0,4","1,7","27,1","1,2","98,8","20,2","53,3","295,4","14,5","6,1","2,5","328,3",0,"25,62",0,"466,1",18,127
Ráckeve,Közepes település,2022,"10,8",9,"15,5","2051229,8","41,1","309,4","21,05","88,5",494,"43,2","10550,5","4,5","2208,6","23,5","58,5","1,8","0,4","2,6","70,6","2,4","99,3","28,4","50,7",494,"33,5","9,7","3,8","349,8","25,4","6,32","2,1","443,4","24,4",55
Solymár,Közepes település,2022,"14,5","3,7","35,4","3054202,6","16,4","228,9","48,96","92,8",789,"48,3","6067,6","7,5","1834,2","24,5","61,5","3,6","0,1","0,8","59,1","0,7",100,"49,8","52,4","21,9",30,"3,1","1,8","354,2",0,"27,43",0,"486,3","27,2",25
Tiszafüred,Közepes település,2022,"-2,3","3,6","12,7","1766811,6","36,7","403,1","35,98",100,285,94,"110457,4","2,3",1536,40,"58,4","3,7","0,2","0,8","123,7","3,5","99,6","64,6","51,1","1325,2","80,9","16,9","3,6","346,4",0,"28,06","0,3",393,"25,5",41
